College,"{'one': 1353, 'zero': 1304}"
INCOME,80215.04252916823
OVERAGE,84.83327060594655
LEFTOVER,23.317275122318403
HOUSE,497040.86262702296
Handset Price,389.9036507339104
Overage15mins,7.517500940910802
Average,5.948061723748588
satisfaction,"{'avg': 2022, 'sat': 626, 'unsat': 9}"
usage level,"{'76': 1, '82': 1, '0': 1, '194': 1, '69': 1, '65': 1, '165': 1, '215': 1, '214': 1, '219': 1, '186': 1, '232': 1, '245': 1, '175': 1, '152': 1, '228': 1, '70': 1, '197': 1, '235': 1, '50': 1, '146': 1, '222': 1, '210': 1, '47': 1, '53': 1, '63': 1, '60': 1, '67': 1, '184': 1, '71': 1, '51': 1, '46': 1, '238': 1, '72': 1, '52': 1, '100': 1, '120': 1, '231': 1, '221': 1, '61': 1, '208': 1, '190': 1, '94': 1, '212': 1, '117': 1, '37': 1, '33': 1, '75': 1, '258': 1, '56': 1, '239': 1, '73': 1, '241': 1, '98': 1, '78': 1, '86': 1, '66': 1, '188': 1, '29': 1, '38': 1, '211': 1, '191': 1, '201': 1, '213': 1, '58': 1, '193': 1, '200': 1, '150': 1, '218': 1, '240': 1, '54': 1, '49': 1, '207': 1, '162': 1, '189': 1, '62': 1, '41': 1, '68': 1, '74': 1, '59': 1, '48': 1, '154': 1, '204': 1, '230': 1, '226': 1, '64': 1, '84': 1, '223': 1, '90': 1, '55': 1, '202': 1, '133': 1, '57': 1, '174': 1, '32': 1, '43': 1, '45': 1, '81': 1, '237': 1, '160': 1, '157': 1, '196': 1, '247': 1, '96': 1, '209': 1, '167': 1, '179': 1, '170': 1, '161': 1, '44': 1, '39': 1, '266': 1, '246': 1, '225': 1, '80': 1, '224': 1, '128': 1, '77': 1, '236': 1, '248': 1, '106': 1, '199': 1, '227': 1, '216': 1, '180': 1, '87': 1, '166': 1, '155': 1, '176': 1, '233': 1, '172': 1, '198': 1, '181': 1, '28': 1, '30': 1, '42': 1, '153': 1, '251': 1, '40': 1, '88': 1, '178': 1, '254': 1, '151': 1, '185': 1, '243': 1, '217': 1, '229': 1, '34': 1, '195': 1, '259': 1, '250': 1, '205': 1, '271': 1, '25': 1, '206': 1, '79': 1, '112': 1, '158': 1, '149': 1, '125': 1, '83': 1, '168': 1, '36': 1, '147': 1, '95': 1, '182': 1, '135': 1, '89': 1, '177': 1, '171': 1, '187': 1, '234': 1, '256': 1, '257': 1, '138': 1, '261': 1, '31': 1, '20': 1, '122': 1, '252': 1, '145': 1, '85': 1, '220': 1, '263': 1, '192': 1, '169': 1, '173': 1, '183': 1, '269': 1, '164': 1, '262': 1, '260': 1, '13': 1, '203': 1, '26': 1, '253': 1, '265': 1, '93': 1, '159': 1, '116': 1, '91': 1, '35': 1, '273': 1, '156': 1, '23': 1, '163': 1, '137': 1, '101': 1, '139': 1, '141': 1, '92': 1, '140': 1, '131': 1, '17': 1, '276': 1, '281': 1, '244': 1, '143': 1, '264': 1, '136': 1, '134': 1, '242': 1, '277': 1, '285': 1, '148': 1, '124': 1, '105': 1, '111': 1, '267': 1, '22': 1, '286': 1, '7': 1, '255': 1, '97': 1}"
considering,"{'considering': 1047, 'no': 542, 'actively_looking_into_it': 671, 'never_thought': 296, 'perhaps': 101}"
leave,"{'STAY': 1402, 'LEAVE': 1255}"
Median for House Value:,446942
Median for Income,75851
